statement,label
Things went wrong with the Medicare prescription D plan that George Bush rolled out.,1
"I believe in a woman's right to choose. I always have. I am still pro-life  meaning I am for life. I hope most people are, and I think it's important to understand the distinction. pro-choice, but not pro-abortion. themselves in the place of physicians. punitive. Charlie supports a woman's right to make her own health care decisions  as governor, he vetoed a measure that required women seeking an abortion to have an ultrasound, a law that Rick Scott signed. government should stay out of personal health decisions between a woman and her doctor. always"" believed ""in a woman's right to choose. fight for pro-life legislative efforts.",0
There are actually only 30 countries that practice birthright citizenship.,1
Discretionary spending went up 84 percent in the last two years,0
"To give the proposed economic stimulus plan some perspective, ""if you started the day Jesus Christ was born and spent $1 million every day since then, you still wouldnt have spent $1 trillion.""",1
The first installment of health care reform ... will raise the deficit by $250 billion.,0
"Mr. Trump is self-financing his campaign, so we dont have any donors.",0
Says Obama broke his promise to help homeowners facing foreclosure.,1
John doesn't have a record in the Senate. John's only passed four bills. They're all about post offices.,0
"Georgia has lost more than 124,000 jobs and the unemployment rate has increased since the stimulus passed",1
"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton had one line on the Palestinian people.",0
Says Gov. Scott Walkers proposed budget would sell off Wisconsins state parks.,0
Says Barack Obama has the worst record of any president when it comes to putting America deeper in debt.,0
A majority in every state favors path to citizenship for undocumented immigrants.,1
"McCain ""voted against a bill to ban waterboarding, and then applauded President Bush for vetoing that ban.""",0
"Washington Democrat Governor Inslee signs controversial bill allowing government to take away minors from parents if they refuse to agree to gender transition surgery. Washington passes bill allowing the state to TAKE CHILDREN AWAY FROM PARENTS that do not consent to their child's gender transition surgeries. homelessness among transgender youth can further endanger an already at-risk population. The legislature intends to remove barriers to accessing temporary, licensed shelter accommodations for youth seeking certain protected health care services. Parents are free to decline all offers and come and collect their child from the shelter at any time. The only thing that isn't clear is the time frame in which the state agency must make a good faith effort to contact the parents. young people who were kicked out of their house because of their identity. government to take away minors from parents if they refuse to agree to gender transition surgery.",0
"President Eisenhower, on the night before the Normandy invasion...[wrote a] letter of resignation to the United States Army for the failure of the landings at Normandy.",0
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",0
The President has decided to move forward with executive actions on immigration that he has said on numerous occasions that he didnt have the constitutional power to take.,1
"There are, literally, two pharmaceutical lobbyists for every member of Congress.",1
"Wisconsin has historically been, and I think largely continues to be, a blue state. While some races have been close, every presidential election since Reagan has favored the Democrat except for one - and that was largely because Hillary Clinton literally ignored the state after she lost the primary.",0
"In 2007, the top 1 percent of all income earners in the United States made 23.5 percent of all income, which is more than the entire bottom 50 percent.",1
Says Kurt Schrader cast the deciding vote that failed to extend tax cuts for Oregons middle-class families and small businesses.,0
Attorney General Eric Holders own Justice Department precleared the voting changes in the 2011 law about early voting in Florida.,0
Says Allen West violatedfederal law by scuba diving with U.S. flag.,0
White people control almost 90 percent of the nations wealth.,1
"Says the Internal Revenue Service estimated it must hire 16,500 agents at a cost of $10 billion to the taxpayer to enforce the federal health care overhaul.",0
Says President Obama waited two weeks to call the attack in Libya terror.,0
"Hillary Clinton ""actually differed with (John McCain) by arguing for exceptions for torture before changing positions.""",1
"In Congress, (Cresent Hardy) voted to defund DACA.",0
Says she has quadrupled agents to secure our border.,0
"The law does not require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer. Notably, Judge Crawford's representation of Planned Parenthood of Wisconsin was not the same action that is now before the court. Recusal is not required simply for having represented a party in previous actions. She said ""I think the current judicial code is a workable system, but I also welcome any opportunities to strengthen and improve a system like that.""
",1
We dont have bars on campus in Texas. Its against the law... no alcohol allowed.,0
The cost of fire in Rhode Island is anywhere from 33 percent to 100 percent more expensive than anywhere else we could find.,0
Fox News said the New Black Panther Party decided the election for Barack Obama.,0
"Rob Portmans plan to tax, slash and privatize Social Security would devastate Ohioans.",0
"He's hoping NC Republicans will forget that when he was Governor, [McCrory] appointed the 'Republican' judge who sided with Democrats in the partisan Democrat lawsuit/power-grab over redistricting. This unanimous decision handed over two, or possibly more, congressional seats to Democrats. Governor McCrory is making a big production of what he says he would do if elected to the U.S. Senate as it relates to judges, so let's see  how those McCrory appointments are working out for conservatives in North Carolina. McCrory appointed 'the' Republican judge who sided with Democrats in the partisan Democrat lawsuit/power-grab over redistricting.",0
Oil money from federal leases can only be used to clean up the mess and damages from drilling.,1
"In the past year, DeKalb has attracted and retained more than 2,300 jobs.",1
"Then you have the CDC, which, how do you even trust them, but then they come out and talk about 75% of the COVID deaths have at least four comorbidities. And you still have this fake White House set saying that this is the pandemic of the unvaccinated, that's not helping the conversation.",0
"Premeditation, in murder cases like the Oscar Pistorius case, can be formed in the twinkling of an eye.",0
"When I was secretary of state, I had a very high approval rating.",1
David Cicilline is the 5th most liberal person in the House of Representatives.,0
"Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.",1
"Over the last few years, more Virginians are moving away from Virginia than are moving to Virginia from the other 49 states.",1
Says Texas Senate hopeful Donna Campbell doesnt live in the district shes hoping to win in 2012.,0
Tim Kaine wants to thwart right-to-work reform measures in Midwest battleground states.,0
"On how he measures his promise to create 700,000 private-sector jobs in seven years.",0
"Says that in 41 states, government workers are better paid than the taxpayers who support them.",0
Says Hillary Clinton supported and continues to support fracking.,1
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,0
The infant mortality rate is 15 percent higher in states with right-to-work laws.,0
"If you want to see the jobs that Ive saved and created in this storm he helped create, go anywhere in Ohio.",1
Obamacare adds trillions to our deficits and to our national debt.,0
Many uninsured Americans are young.,1
"Booker has accepted over $400,000 from the pharmaceutical industry. ",1
Texas now has the second-highest high school graduation rate in the country. And it has the highest graduation rate for African Americans and Hispanics.,1
The 2006 Massachusetts health care law has added (only) about 1 percent to our state budget.,1
Says rejecting federal aid to expand Medicaid in Texas will send $9 billion in federal taxes paid by Texans to other states to insure their working poor.,0
Less than half of jobs at the Carrier manufacturing plant in Indiana are actually staying.,0
"After J.D. Hayworth ""was voted out of Congress, he became a registered lobbyist"" who was ""paid thousands by a Florida corporation to lobby the very committee he used to serve on.""",1
"Says an election clerk in Green Bay refused to allow early voting on the UW-Green Bay campus because she was afraid it would help Democrats, showing outrageous partisan bias.",0
Most of the Bush tax cuts went to people in the top 3 percent of this country.,0
Says 11 states have more people on welfare than employed.,0
"I think economists really disagree about the effects of tariffs. But what other people say, and I think the record supports this other view, is that it causes this dynamic effect where more jobs come into the country. Anything that you lose on the tariff from the perspective of the consumer, you gain in higher wages, so you're ultimately much better off. Anything that you lose on the tariff from the perspective of the consumer, you gain in higher wages, so you're ultimately much better off.",0
Says Donald Trump has been talking about the option of using a nuclear weapon against our Western European allies.,0
"While Mandels been busy traveling the country raising campaign money, he hasnt shown up for work.",0
This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.,1
Our larger domestic threat is from racial supremacist groups.,0
The Tax Foundation figures Rhode Island as the 10th highest state for state and local tax burden per capita in the country. Were the 6th worst in the country for the business tax index. Were the 3rd highest per capita in the country for all taxes.,0
"National debt plus unfunded liabilities adds up to $520,000 per American household.",0
Wisconsin is not walking away from a dime in federal funds by rejecting the Obamacare Medicaid expansion.,0
Drug overdose deaths decreased in 2018 for the first time in 30 years.,1
Prince William County has cut violent crime in half since instituting a crackdown on illegal immigration.,0
"Hillary Clinton wants to ""wave the white flag of surrender and set a date for withdrawal.""",0
Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.,1
Says Adam Hasners record includes requesting over $92.2 million in earmarks.,1
"If we use (Tax Increment Financing) funding, thats going to take funds from the general fund for Pinellas County, as it will take funds from the general fund for the city of St. Pete.",0
Says he has supported George Bush more than I have Barack Obama.,0
"In President Barack Obamas 2015 State of the Union address, the words al-Qaida were never used, the first time those words have not been used in a State of the Union address since February 2001.",1
Says the states new collective bargaining law effectively eliminates police unions ability to negotiate.,1
"Says the United States is the only nation that affords citizenship to anyone born here, whether you are here legally or illegally.",0
No one thought we could get a bipartisan bill (Medicaid) passed. We did in the Florida Senate.,0
"But you know, 72 hours, they weren't even in the cone. They were following the weather track and they had to make decisions based on that. Seventy-two hours before the storm, we still were not in the cone.",0
"Harris wants to forcibly compel doctors and nurses against their will to give chemical castration drugs to young children. Chemical castration drugs"" given ""to young children.",0
"The same people that raided Israel are pouring into our once beautiful USA, through our totally open southern border, at record numbers. Are they planning an attack within our country? Crooked Joe Biden and his boss Barack Hussein Obama did this to us! the same people that raided Israel are pouring into our once beautiful USA, through our TOTALLY OPEN SOUTHERN BORDER, at Record Numbers.",0
"Over the last 15 months, weve added more than 2 million jobs in the private sector. Thats far in excess of what it was in the comparable period after the last recession.",1
Obama Announces Plans For A Third Term Presidential Run,0
"I've had lunch in the Capitol for no reason. It's not illegal to go inside the Capitol. Hundreds of people do it everyday. You do not need a reason to enter the U.S. Capitol. You can enter any time you want during business hours just because you feel like. Legally, the most public government building in the world is not closed due to COVID-19 unless the public is given notice. It's not illegal to go inside the Capitol.",0
"In the event of a U.S. strike on Syria, the Russians will replace the weapons immediately. Theyve said it on the record. Theyve suggested they might even replace it with better stuff.",0
The LGBT community is more often the victims of hate crimes than any other recognized group.,1
"Every time somebody new gets the Ebola virus, it mutates.",0
Says a Bureau of Labor Statistics report attributed a sharp increase in work-related fatalities to increasing numbers of employees and drivers could not read or understand warning signs in English.,0
"With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a proven success.",0
500 percent more traffic here?,1
A judge took the Star Scientific tax case away from Ken Cuccinelli,0
"During eight years under Ronald Reagan, African-American median income rose by about $5,000.",0
"Part of his ride was to warn the British that were already there that, Hey, youre not going to succeed.",0
95 percent of the worlds customers are beyond our shores.,0
The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,0
One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.,0
"Even a 100 percent tax on millionaires would only fund four months of government operations, failing to seriously address budget deficits and debt.",0
"Over the past year, Illinois has reduced its unemployment rate more than all of the top 20 most populated states in the nation -and more than our Midwestern peers.",1
There are less than two weeks until the deadline to register to vote in Wisconsin. Deadline rapidly approaching to register to vote in Wisconsin. a civic engagement organization focused on educating and empowering a new generation of Latinx voters.,0
The debt comes up all the time in town meetings ... but its never asked in the debates. Its really weird. It hasnt been brought up.,0
The Obama administration manipulated deportation data to make it appear that the Border Patrol was deporting more illegal immigrants than the Bush administration.,0
Says Texas routinely gets a lot more federal spending than it pays in taxes.,1
"The text does not contain any direct quotes from Ron DeSantis. It primarily discusses his campaign's actions and statements regarding Donald Trump and affirmative action, but does not provide any specific quotes attributed to DeSantis himself.",0
The fact is it's not amnesty.,1
Says his Act 10 reforms have saved the taxpayers some $3 billion.,1
"Since the time of the Civil War, weve made a distinction in this country between the availability and the ability to access for people who were in the military, versus the rest of us, to vote.",0
"In Rhode Island, Nearly 9 percent of covered employees go out on short term disability every year, with an average outage from work of almost 12 weeks each.",0
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,1
The only segment in the beer market that is growing is the craft beer segment.,1
To vote in Mexico every eligible Mexican citizen has to have a tamper-proof photo-ID card with a thumbprint and an embossed hologram.,1
"If black America were a country, itd be the 15th wealthiest nation in the world.",0
In about three weeks over a half million Floridians are going to lose their coverage again through Obamacare.,0
"Once again, a police officer has been killed with an illegal gun from Georgia a state that last year did the NRAs bidding and weakened its already lax gun laws.",0
"As chairman, and more importantly as governor, Ron DeSantis is responsible for setting the course for how the organization, and by large the state, draws business to the state  and during his first term, 2018-2022, that included establishing a solid, positive, working relationship with China."" - Brittany Yanick, SFA Fund spokesperson.

""DeSantis called China 'Florida's most important trading partner.'"" - SFA Fund.

""China remains Florida's most important trading partner and export destination in the region, but commercial ties with India, Vietnam, Malaysia and other countries in South East Asia have grown significantly in recent years."" - Wording attributed to Enterprise Florida.

""The SFA Fund said DeSantis 'called China 'Florida's most important trading partner.''"" - SFA Fund.",0
Says Wisconsin Supreme Court candidate JoAnne Kloppenburg put an 80-year-old farmer in jail for refusing to plant native vegetation on his farm.,0
The United States is the only industrialized country that does not guarantee paid time off to care for a new child.,1
Says he lived up to a 2008 promise when he closed corporate tax loopholes that were sending profits overseas.,0
On serving out his gubernatorial term,0
"This year, the Austin City Council granted a small homestead property tax exemption of $5,000... applied equally to everyone. And we also granted an exemption for the elderly and the disabled members of the community.",0
There are twice as many gun shops as McDonalds in the United States.,1
In other states (where illegal immigrants have been allowed to get drivers licenses) their insurance premiums for everybody have gone down.,1
"Barack Obama accepted $200,000 from executives and employees of oil companies.",1
"In the Senate version of the health reform bill, ""Every enrollee in the Office of Personnel Management enrolled plan, every enrollee has to pay a minimum of $1 per month towards reproductive rights, which includes abortion.""",0
"McDonalds workers in Denmark have a union. Earn $45,000/year.",1
The debt-ceiling bill doesnt cut the debt. It will add about $7 trillion in new debt over the next 10 years.,0
"When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said no, were building a wall and were deporting everybody. He said, quote, they will all be gone. They will all be gone. This is one of the ones where you can go to the tape on it and see what Donald Trump has said.",0
"U.S. Reps. Hank Johnson, John Lewis and other members of the Congressional Progressive Caucus are socialists who are openly serving in the U.S. Congress.",0
Mike Huckabee raised taxes on dog groomers!,1
"Half of all Americans have less than $10,000 in their savings account.",1
Under Gov. Rick Perrys leadership [Texas] has created more jobs over the last decade than the rest of the states combined.,0
Says Rick Scott thinks employers should be able to deny women coverage for birth control.,1
Eighty-seven percent of private insurance plans currently include (abortion) coverage.,1
Federal law requires residents to participate in the U.S. governments American Community Survey.,1
If our recovery were more typical of the postwar era . . . we would have 14 million more jobs today.,1
Gov. Lincoln Chafee has imposed a mandatory abortion fee on all Rhode Islanders who buy health insurance through the states Obamacare exchange.,0
The (New England) Patriots were led by an explosive offense that scored the second most points in the NFL.,1
"The U.S. has 5 percent of the worlds population, 25 percent of the worlds known prison population.",1
McCain lobbied for (a) $10-million pork project honoring conservative justice.,1
The Obama administrations own Environmental Protection Agency has said its Clean Power Plan will have a marginal impact on climate change.,0
"Wisconsin sold fresh water to California, helping that states dairy industry, and lost a bunch of jobs (and) a bunch of farmland.",0
"Says his GOP challenger, Doug MacGinnitie, ""hadnt voted in a Republican primary for almost 20 years until 2008.",0
"Under President Barack Obamas jobs bill, you can sue if you are unemployed and dont get the job and think you werent hired because you are unemployed.",1
Ive been outspent by my opponents every time Ive run for U.S. Senate.,0
"President Donald Trump put out a $297 million contract to a vendor to show him how to hire Border Patrol. So, the first payment they made was $14.8 million. You know how many Border Patrol they hired with $14.8 million? Two.",1
"Any effort of Mayor Adams to ban chocolate milk and replace it with vegan juice is an absolute non-starter and will be opposed by parents, families, kids, and New Yorkers.",1
The federal government right now does not deport criminals.,0
Says Newt Gingrich supports amnesty for illegal immigrants.,0
"These are certified numbers. Kamala let in the 13,099 convicted murderers and opposes all efforts to find them and to remove them. The data goes back decades; it includes individuals who entered the country over the past 40 years or more, the vast majority of whose custody determination was made long before this Administration. migrants would have accounted for about one-third of all homicide convictions from 2021 through ",0
Says Barack Obama founded ISIS. I would say the co-founder would be crooked Hillary Clinton.,0
The health care law imposes the largest tax increase in history on the middle class.,0
The Obama Administration's own White House Council of Economic Advisers has estimated 4.7 million Americans will lose their jobs if the (health care) bill passes.,0
Marriage decreases the probability of child poverty by 82 percent.,1
"Hormonal birth control makes you fat, doubles risk of depression & triples risk of suicide. This is the clear scientific consensus, but very few people seem to know it. There is clear scientific consensus that hormonal birth control makes people gain weight and doubles the risk of depression and triples the risk of suicide.",0
David Beckhams soccer stadium would get a special tax deal that lets them off the hook for $2 million in taxes every year for 30 years.,1
"Becerra claimed ""Every time we go to court, against the Trump administration, for the most part, we win.""",1
There are currently delays of up to six months in the processing of DNA evidence at the state run crime lab.,0
We've cut the deficit by a record $5 trillion this year. The end of COVID relief spending is no accident and instead the direct result of the administration's vaccination and COVID strategy.,0
If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.,1
The Milwaukee Police Department has seized nearly as many firearms this year as the much larger New York City Police Department.,1
Klein did not hold a single town hall meeting (on health care) where the general public was invited to ask questions or present their views.,0
"Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'""",0
"Because of Obamacare peoples premiums ...are going up 35, 45, 55 percent.",0
Wall Street megabanks that received bailouts in 2009 now get taxpayer-funded advantages not available to community banks in Ohio.,0
Says Debo Adegbile was nominated to serve as a judge on the U.S. Circuit Court of Appeals and was abruptly withdrawn by the administration.,0
"Our tax code is . . . 80,000 pages.",0
Says over 90 percent of Travis Countys eligible residents have registered to vote.,1
The City of Milwaukee uses the building inspection area as a revenue base.,0
Rick Perry accepted more stimulus funds than any other governor except the governors of California and New York.,1
"Says the United States has the highest incarceration rate in the world with 2.3 million inmates, and the majority of Americans are imprisoned because they sold small amounts of drugs.",0
One out of every three automobile fatalities can be attributed to alcohol.,1
"Says she does the jobs of state auditor, secretary of state and lieutenant governor for less than the price of one of them in Washington state.",0
"Under the Obama administration, we are drilling and producing more domestic energy supplies than we ever had before.",0
this legislation eliminates a source of fraud by removing student ID cards as a valid form of identification at the polls. I was concerned that students from Oregon or Washington could vote twice in an election. student ID cards are a 'source of fraud' at the polls.,0
"A DWI costs $17,000.",0
The United States is the only advanced country on Earth that doesnt guarantee paid maternity leave to our workers.,1
