label,statement
1,President Barack Obama raised the issue in a constructive and collegial way that succeeded in securing a pledge from NATO members to increase their defense spending.
1,"Since the end of the financial crisis, we have seen an average of one community bank or credit union disappear every day."
1,"There have been small trials and small attempts around the world to test convalescent plasma therapy for coronavirus patients, and they seem to have had some degree of success."
1,"A recent study showed that nearly half of all gifts bought for the holidays are now purchased online. Unfortunately, another study showed as many as 1 in 4 people have had a package stolen from their residence."
1,"The vision the president has put forward (in the infrastructure bill) is fully paid for. Across 15 years, it would raise all of the revenue needed for these once-in-a-lifetime investments."
1,Austin is the safest big city in Texas with an unemployment rate under 3% that has been named the best place to live in the entire United States two years running.
1,Small business confidence is at an all-time high.
1,"Today, property taxes are lower than they were in 2010. Allowing taxpaying to keep more of their hard-earned money has been and will continue to be a top priority."
1,My opponent wants to repeal the Affordable Care Act and kick millions off their health insurance.
1,"As your Governor, we pulled the rope together and achieved record low unemployment, thousands of new jobs, and the BIGGEST tax cut in state history. As our next U.S. Senator, I'll be a strong conservative in Washington and deliver big results for West Virginia. Under Jim Justice, West Virginia achieves the lowest unemployment rate in state history"
1,"When I became governor, we banned sanctuary cities and we also did E-Verify. Biden is going in the absolute wrong direction. DeSantis said. Trump had it right at the border, Biden has got it wrong."
1,Simply being in this country without documentation is not a crime.
1,"Gun-carrying civilian groups and border vigilantes have heard a call to arms in President Trump's warnings about threats to American security posed by caravans of Central American migrants moving through Mexico.  They're packing coolers and tents, oiling rifles and tuning up aerial drones, with plans to form caravans of their own and trail American troops to the border."
0,PHOTO: Tulsi Gabbard celebrates her swearing in as director of national intelligence by inhaling Donald Trump's rotten egg and ammonia breath while he tongues her nostril like Jabba the Hutt licking frosting off a beater. Former Hawaii Democratic Rep. Tulsi Gabbard announced she is joining the Republican party Tuesday night.
1,"According to a nationwide analysis, Wisconsin is one of the nine states with the highest rate of COVID-19 infection per capita."
0,Stop Getting Mammograms Immediately As They Are Outdated And Dangerous! There Is A Safer Way To Test For Breast Cancer!
0,"Let's be clear: 'drag shows' are strip shows. They are wrong. They are particularly wrong at school. They are definitely not 'family-friendly.' In my opinion, if people take off clothing or play music or are given dollar bills by members of the audience, that is a strip show, regardless of gender."
0,"Did you know? A national, mandatory buy-back program means fewer guns & fewer tragedies. Kamala Harris gets it! Let's get ready for the next phase in Kamala's bold progressive agenda! Kamala Harris is dedicated to making communities safer by reducing the number of firearms in civilian hands through a fair and effective mandatory buy-back program. Paid for by Progress "
0,"Kevin O'Leary said all fat not cutting enough One hundred years of never being scrutinized, never been examined, never looking for any efficiencies. Finally, here's an individual who's willing to do it for free with extremely great executional skills. You have to cut more because you just don't know. There's no way to do it. Remember, we've never audited government for 100 years. we've never audited government for 100 years."
1,WV families making less than $400K & small businesses will NOT be targeted by the IRS because they are already paying taxes.
0,"Illicit drugs are flowing into the country at an alarming rate because of Biden's open border. 839 pounds of deadly fentanyl was seized at the southern border in January alone. letting drugs like fentanyl pour into our communities. Drugs have poured over the border since the 1980s, including intensely during the Trump administration. The wall did not make any difference. The term 'open border' seems created to deceive and mislead."
1,Nancy Pelosi and the Democrats clog their coronavirus relief bill with leftist wishlist. Democrat bill includes: tax credits for solar and wind energy... emissions standards and carbon offset requirements for airlines... policing racial makeup of corporate boards... retirement plans for community newspaper employees... $300 million for PBS... climate change studies for civil aviation and aerospace industries. Democrats don't care about your health or the economy. They only care about politics.
0,"gave our taxpayer money to a transgender clinic, affirming clinic  which is their buzzword  that does it without even telling parents. transgendering them go through the transgender process does it alter children, mutilate them surgically or put them on drugs that can have a permanent impact on their quality of life"
0,"If Donald Trump stops federal funding to Maine, we the people of Maine will take out federal taxes from all paychecks and no taxes will be paid to the federal government. I'm complying with state and federal laws. We are the federal law. You better do it because you're not gonna get any federal funding at all if you don't. See you in court. Good. I'll see you in court. I look forward to that. That should be a real easy one. And enjoy your life after governor because I don't think you'll be in elected politics."
1,"Well, Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males."
1,"Some years in El Paso, in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 murders per year. We exceeded that average just on one day. This is not normal, it is not acceptable."
1,"Tony Evers wants to give in-state tuition to illegal aliens and driver's licenses, too."
0,"billions in funds support government price-setting schemes that'll give liberal politicians billions in funds meant for Medicare to spend on unrelated government programs or pad big insurers' profits. CBO shows Manchin/Schumer drug price controls raid Medicare for $287 billion, most of which is expected to be sent to insurance companies as supersized Obamacare subsidies. This ad funded by Big Pharma is blatantly lying about Sen. Manchin's record. West Virginia seniors know Sen. Manchin has worked tirelessly to protect Medicare and reduce prescription drug costs. the false attacks So I don't think anything can be further from the truth. What's happening here isn't an elimination of a Medicare service or benefit  we're talking about paying lower prices for the very same drugs we pay the highest prices in the world for now. There's a lot of disagreement about how large those effects will be and whether we are talking about high- or low-value drugs. But, again, this is not a revelation  this is how all legislation works. Insurers might capture a little bit, since they would earn their ordinary profit margins on new enrollment. those effects will be small relative to the amounts of money involved. the ad is not accurate. the Medicare drug pricing plan results in savings, not the diversion"
1,George W. Bush doubled the debt from $5 trillion to $10 trillion. President Obama doubled the debt from $10 trillion to $20 trillion. Now we're on course to exceed $30 trillion in the next seven years or so.
1,Sinema's new status doesn't change the complexion of what our Democratic majority is going to look like in the Senate. Sinema has voted with the president 93% of the time. 
0,"smart, speedy take on the news around the world The View settles with the Rittenhouses for $22 million and a formal apology. Everything on this website is fiction If you believe that it is real, you should have your head examined."
